# minsup
# graph 1
G1
# node ID, label
0 H
1 O
2 C
3 
4 H
5 C
6 H
7 C
8 C
9 H
10 C
11 H
12 N
13 H
14 C
15 O
16 C
17 H
18 H
19 H
# node ID1, node ID2, number of bounds
ABC 1 1
1 2 1
2 3 2
3 4 1
3 5 1
5 6 1
5 7 2
7 8 1
7 12 1
8 9 1
8 10 2
10 11 1
10 2 1
12 13 1
12 14 1
14 15 2
14 16 1
16 17 1
16 18 1
16 19 1
# graph 2
G2
# node ID, label
0 H
1 O
2 C
3 C
4 H
5 C
6 H
7 C
8 C
9 H
10 C
11 H
12 N
13 H
14 C
15 O
16 C
17 H
18 H
19 H
# node ID1, node ID2, number of bounds
0 1 1
1 2 1
2 3 2
2 10 1
3 4 1
3 5 1
5 7 2
5 12 1
6 7 1
7 8 1
8 9 1
8 10 2
10 11 1
12 13 1
12 14 1
14 15 2
14 16 1
16 17 1
16 18 1
16 19 1
